2024-05-30 02:03:49 install libcom-err2:amd64 <none> 1.45.5-2ubuntu1
2024-05-30 02:03:49 status half-installed libcom-err2:amd64 1.45.5-2ubuntu1
2024-05-30 02:03:49 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2024-05-30 02:03:49 install libcrypt1:amd64 <none> 1:4.4.10-10ubuntu4
2024-05-30 02:03:49 status half-installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2024-05-30 02:03:49 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2024-05-30 02:03:49 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu2
2024-05-30 02:03:49 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2024-05-30 02:03:49 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2024-05-30 02:03:49 install libdebconfclient0:amd64 <none> 0.251ubuntu1
2024-05-30 02:03:49 status half-installed libdebconfclient0:amd64 0.251ubuntu1
2024-05-30 02:03:49 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2024-05-30 02:03:49 install libext2fs2:amd64 <none> 1.45.5-2ubuntu1
2024-05-30 02:03:49 status half-installed libext2fs2:amd64 1.45.5-2ubuntu1
2024-05-30 02:03:49 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2024-05-30 02:03:49 install libfdisk1:amd64 <none> 2.34-0.1ubuntu9
2024-05-30 02:03:49 status half-installed libfdisk1:amd64 2.34-0.1ubuntu9
2024-05-30 02:03:50 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2024-05-30 02:03:50 install libgcc-s1:amd64 <none> 10-20200411-0ubuntu1
2024-05-30 02:03:50 status half-installed libgcc-s1:amd64 10-20200411-0ubuntu1
2024-05-30 02:03:50 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2024-05-30 02:03:50 install libgcrypt20:amd64 <none> 1.8.5-5ubuntu1
2024-05-30 02:03:50 status half-installed libgcrypt20:amd64 1.8.5-5ubuntu1
2024-05-30 02:03:50 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
2024-05-30 02:03:50 install libgpg-error0:amd64 <none> 1.37-1
2024-05-30 02:03:50 status half-installed libgpg-error0:amd64 1.37-1
2024-05-30 02:03:50 status unpacked libgpg-error0:amd64 1.37-1
2024-05-30 02:03:50 install liblz4-1:amd64 <none> 1.9.2-2
2024-05-30 02:03:50 status half-installed liblz4-1:amd64 1.9.2-2
2024-05-30 02:03:50 status unpacked liblz4-1:amd64 1.9.2-2
2024-05-30 02:03:50 install liblzma5:amd64 <none> 5.2.4-1
2024-05-30 02:03:50 status half-installed liblzma5:amd64 5.2.4-1
2024-05-30 02:03:50 status unpacked liblzma5:amd64 5.2.4-1
2024-05-30 02:03:50 install libmount1:amd64 <none> 2.34-0.1ubuntu9
2024-05-30 02:03:50 status half-installed libmount1:amd64 2.34-0.1ubuntu9
2024-05-30 02:03:50 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2024-05-30 02:03:50 install libncurses6:amd64 <none> 6.2-0ubuntu2
2024-05-30 02:03:50 status half-installed libncurses6:amd64 6.2-0ubuntu2
2024-05-30 02:03:50 status unpacked libncurses6:amd64 6.2-0ubuntu2
2024-05-30 02:03:50 install libncursesw6:amd64 <none> 6.2-0ubuntu2
2024-05-30 02:03:50 status half-installed libncursesw6:amd64 6.2-0ubuntu2
2024-05-30 02:03:50 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2024-05-30 02:03:50 install libpam-modules:amd64 <none> 1.3.1-5ubuntu4
2024-05-30 02:03:50 status half-installed libpam-modules:amd64 1.3.1-5ubuntu4
2024-05-30 02:03:50 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2024-05-30 02:03:50 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu4
2024-05-30 02:03:50 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2024-05-30 02:03:50 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2024-05-30 02:03:50 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2024-05-30 02:03:50 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2024-05-30 02:03:50 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2024-05-30 02:03:50 install libpam0g:amd64 <none> 1.3.1-5ubuntu4
2024-05-30 02:03:50 status half-installed libpam0g:amd64 1.3.1-5ubuntu4
2024-05-30 02:03:50 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2024-05-30 02:03:50 install libpcre2-8-0:amd64 <none> 10.34-7
2024-05-30 02:03:50 status half-installed libpcre2-8-0:amd64 10.34-7
2024-05-30 02:03:50 status unpacked libpcre2-8-0:amd64 10.34-7
2024-05-30 02:03:50 install libpcre3:amd64 <none> 2:8.39-12build1
2024-05-30 02:03:50 status half-installed libpcre3:amd64 2:8.39-12build1
2024-05-30 02:03:50 status unpacked libpcre3:amd64 2:8.39-12build1
2024-05-30 02:03:50 install libprocps8:amd64 <none> 2:3.3.16-1ubuntu2
2024-05-30 02:03:50 status half-installed libprocps8:amd64 2:3.3.16-1ubuntu2
2024-05-30 02:03:50 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2024-05-30 02:03:50 install libselinux1:amd64 <none> 3.0-1build2
